z,Time,ISM,Stars,H,He,C,N,O,Fe
0.32432432432432434,3163345873.7215333,1788747306109.1907,34265320386.604557,540705942240.7281,170749244918.1177,25764039650.207195,25764039650.207195,25764039650.207195,0.0
0.3363363363363363,3244555782.3018346,1804378778675.698,33662279836.28084,550803873518.6974,173938065321.68677,26545613278.53316,26545613278.53316,26545613278.53316,0.0
0.3483483483483483,3323961047.2754807,1819890927024.1404,33097550931.933617,560824721351.7968,177102543584.77057,27321220695.955875,27321220695.955875,27321220695.955875,0.0
0.36036036036036034,3401617317.6226206,1835283751154.5178,32569008199.776947,570768485740.0261,180242679707.3691,28090861902.475338,28090861902.475338,28090861902.475338,0.0
0.37237237237237236,3477578055.2845807,1850676575284.8953,32074594074.085876,580712250128.2555,183382815829.96765,28860503108.9948,28860503108.9948,28860503108.9948,0.0
0.3843843843843844,3551894639.3063965,1865950075197.2078,31612325791.44777,590578931071.6149,186498609812.08093,29624178104.61101,29624178104.61101,29624178104.61101,0.0
0.3963963963963964,3624616464.168981,1881104250891.4553,31180046196.19644,600368528570.1042,189590061653.70895,30381886889.32397,30381886889.32397,30381886889.32397,0.0
0.4084084084084084,3695791032.681734,1896139102367.638,30775981886.68935,610081042623.7236,192657171354.8517,31133629463.13368,31133629463.13368,31133629463.13368,0.0
0.42042042042042044,3765464043.7799087,1911054629625.7556,30398647631.860004,619716473232.473,195699938915.50922,31879405826.040134,31879405826.040134,31879405826.040134,0.0
0.43243243243243246,3833679475.546505,1925970156883.8733,30046198997.56538,629351903841.2224,198742706476.16672,32625182188.94659,32625182188.94659,32625182188.94659,0.0
0.4444444444444444,3900479663.7558875,1940766359923.926,29717102159.102844,638910251005.1018,201761131896.33896,33364992340.949795,33364992340.949795,33364992340.949795,0.0
0.45645645645645644,3965905376.2155795,1955443238745.9138,29409902356.27089,648391514724.1112,204755215176.02594,34098836282.049747,34098836282.049747,34098836282.049747,0.0
0.46846846846846846,4029995883.163476,1970120117567.9016,29123365571.938118,657872778443.1206,207749298455.71292,34832680223.1497,34832680223.1497,34832680223.1497,0.0
0.4804804804804805,4092789023.9600134,1984677672171.8245,28856164655.97328,667276958717.26,210719039594.91464,35560557953.3464,35560557953.3464,35560557953.3464,0.0
0.4924924924924925,4154321270.298496,1999235226775.7473,28607049780.08066,676681138991.3994,213688780734.11636,36288435683.5431,36288435683.5431,36288435683.5431,0.0
0.5045045045045045,4214627786.141649,2013673457161.6052,28374952655.86647,686008235820.6688,216634179732.83282,37010347202.83655,37010347202.83655,37010347202.83655,0.0
0.5165165165165165,4273742484.57848,2028111687547.4631,28158846774.07036,695335332649.9382,219579578731.5493,37732258722.13,37732258722.13,37732258722.13,0.0
0.5285285285285285,4331698081.782622,2042430593715.256,27957749515.782303,704585346034.3376,222500635589.7805,38448204030.520195,38448204030.520195,38448204030.520195,0.0
0.5405405405405406,4388526148.241313,2056749499883.049,27770643087.549763,713835359418.737,225421692448.0117,39164149338.91039,39164149338.91039,39164149338.91039,0.0
0.5525525525525525,4444257157.413093,2070949081832.777,27596650471.08042,723008289358.2665,228318407165.75763,39874128436.39734,39874128436.39734,39874128436.39734,0.0
0.5645645645645646,4498920531.961974,2085148663782.5051,27435004668.065872,732181219297.7959,231215121883.50357,40584107533.884285,40584107533.884285,40584107533.884285,0.0
0.5765765765765766,4552544687.706318,2099228921514.1682,27284903614.379963,741277065792.4553,234087494460.76425,41288120420.46798,41288120420.46798,41288120420.46798,0.0
0.5885885885885885,4605157075.41178,2113309179245.8313,27145589691.570972,750372912287.1147,236959867038.02493,41992133307.051674,41992133307.051674,41992133307.051674,0.0
0.6006006006006006,4656784220.549403,2127270112759.4294,27016398292.427444,759391675336.9042,239807897474.80035,42690179982.73212,42690179982.73212,42690179982.73212,0.0
0.6126126126126126,4707451761.132379,2141231046273.0276,26896647865.689255,768410438386.6936,242655927911.57578,43388226658.41256,43388226658.41256,43388226658.41256,0.0
0.6246246246246246,4757184483.73777,2155191979786.6257,26785780570.206314,777429201436.483,245503958348.3512,44086273334.093,44086273334.093,44086273334.093,0.0
0.6366366366366366,4806006357.812957,2169033589082.159,26683181234.61988,786370881041.4025,248327646644.64136,44778353798.87019,44778353798.87019,44778353798.87019,0.0
0.6486486486486487,4853940568.360348,2182875198377.6921,26588308566.34735,795312560646.3219,251151334940.93152,45470434263.647385,45470434263.647385,45470434263.647385,0.0
0.6606606606606606,4901009547.088169,2196716807673.2253,26500680627.027214,804254240251.2413,253975023237.22168,46162514728.424576,46162514728.424576,46162514728.424576,0.0
0.6726726726726726,4947235002.1098175,2210439092750.694,26419835182.85838,813118836411.2908,256774369393.02658,46848628982.298515,46848628982.298515,46848628982.298515,0.0
0.6846846846846847,4992637946.269245,2224161377828.162,26345305226.162598,821983432571.3402,259573715548.83148,47534743236.172455,47534743236.172455,47534743236.172455,0.0
0.6966966966966966,5037238724.16518,2237883662905.6304,26276674969.80424,830848028731.3896,262373061704.63638,48220857490.046394,48220857490.046394,48220857490.046394,0.0
0.7087087087087087,5081057037.942714,2251486623765.0337,26213549349.50079,839635541446.5691,265148065719.95602,48901005533.01708,48901005533.01708,48901005533.01708,0.0
0.7207207207207207,5124111971.9166155,2265089584624.437,26155573089.275,848423054161.7485,267923069735.27567,49581153575.98777,49581153575.98777,49581153575.98777,0.0
0.7327327327327328,5166422016.087062,2278692545483.8403,26102388898.483727,857210566876.928,270698073750.5953,50261301618.95846,50261301618.95846,50261301618.95846,0.0
0.7447447447447447,5208005088.604841,2292176182125.1787,26053675831.349937,865920996147.2374,273448735625.4297,50935483451.025894,50935483451.025894,50935483451.025894,0.0
0.7567567567567568,5248878557.239827,2305659818766.517,26009128665.1265,874631425417.5469,276199397500.26575,51609665283.09333,51609665283.09333,51609665283.09333,0.0
0.7687687687687688,5289059259.903392,2319143455407.8555,25968458012.81242,883341854687.8563,278950059375.1036,52283847115.16077,52283847115.16077,52283847115.16077,0.0
0.7807807807807807,5328563524.272561,2332627092049.194,25931402036.697266,892052283958.1658,281700721249.9414,52958028947.2282,52958028947.2282,52958028947.2282,0.0
0.7927927927927928,5367407186.560929,2345991404472.4673,25897700474.657948,900685629783.6052,284427040984.29395,53626244568.39239,53626244568.39239,53626244568.39239,0.0
0.8048048048048048,5405605609.478913,2359355716895.7407,25867128003.022198,909318975609.0447,287153360718.6465,54294460189.55657,54294460189.55657,54294460189.55657,0.0
